Player,Team,P Att,P Comp,Comp. %,P Yds,P TDs,INT,Ru Att,Ru Yds,Ru TDs,Proj Pts
Josh Allen,BUF,583,367,62%,4287.0,35.0,13.0,113.0,629.0,7.0,390.4
Jalen Hurts,PHI,489,318,65%,3741.0,27.0,8.0,161.0,843.0,9.0,379.9
Patrick Mahomes,KC,618,408,66%,4880.0,37.0,11.0,62.0,337.0,2.0,366.9
Lamar Jackson,BAL,462,295,63%,3369.0,27.0,10.0,141.0,897.0,5.0,342.5
Joe Burrow,CIN,589,407,69%,4419.0,34.0,13.0,58.0,164.0,3.0,321.2
Justin Herbert,LAC,625,418,66%,4497.0,31.0,11.0,55.0,228.0,2.0,316.7
Deshaun Watson,CLE,503,327,65%,3722.0,26.0,13.0,94.0,511.0,5.0,308.0
Justin Fields,CHI,377,234,62%,2697.0,19.0,13.0,173.0,1104.0,6.0,304.3
Trevor Lawrence,JAC,565,367,64%,4038.0,26.0,12.0,65.0,307.0,3.0,290.2
Dak Prescott,DAL,555,372,67%,4104.0,28.0,11.0,55.0,220.0,2.0,288.2
Kirk Cousins,MIN,598,400,66%,4303.0,30.0,11.0,28.0,110.0,1.0,287.1
Aaron Rodgers,NYJ,559,363,64%,4082.0,29.0,7.0,31.0,96.0,2.0,286.9
Geno Smith,SEA,528,354,67%,3856.0,27.0,9.0,59.0,281.0,1.0,278.3
Russell Wilson,DEN,501,321,64%,3658.0,25.0,10.0,59.0,273.0,3.0,271.6
Daniel Jones,NYG,500,325,65%,3348.0,17.0,10.0,105.0,610.0,4.0,266.9
Ryan Tannehill,TEN,482,318,65%,3613.0,23.0,10.0,45.0,196.0,3.5,257.1
Anthony Richardson,IND,396,218,55%,2614.0,14.0,11.0,153.0,878.0,5.0,256.4
Jared Goff,DET,548,362,66%,4029.0,25.0,10.0,28.0,84.0,1.0,255.6
Kenny Pickett,PIT,541,346,63%,3595.0,21.0,11.0,70.0,291.0,2.0,246.9
Tua Tagovailoa,MIA,458,302,65%,3731.0,24.0,11.0,36.0,140.0,1.0,243.2
Derek Carr,NO,528,344,65%,3911.0,24.0,11.0,31.0,93.0,,239.7
Matthew Stafford,LA,562,376,66%,4102.0,23.0,13.0,28.0,30.0,,233.1
Jordan Love,GB,512,323,63%,3533.0,22.0,13.0,55.0,223.0,1.0,231.6
Bryce Young,CAR,515,314,60%,3397.0,19.0,15.0,59.0,247.0,3.0,224.6
Mac Jones,NE,515,340,66%,3554.0,19.0,13.0,44.0,125.0,1.0,210.7
C.J. Stroud,HOU,499,294,58%,3291.0,17.0,14.0,62.0,265.0,2.0,210.1
Jimmy Garoppolo,LV,455,305,67%,3367.0,20.0,11.0,30.0,42.0,1.0,202.9
Brock Purdy,SF,397,258,64%,3040.0,22.0,10.0,31.0,52.0,1.0,200.8
Kyler Murray,ARI,332,222,66%,2140.0,13.0,7.0,41.0,221.0,2.0,157.7
Sam Howell,WAS,276,157,56%,1832.0,12.0,8.0,57.0,357.0,2.0,153.0
Baker Mayfield,TB,335,204,60%,2309.0,14.0,9.0,25.0,98.0,,140.2
Desmond Ridder,ATL,277,174,62%,1770.0,10.0,7.0,39.0,131.0,2.0,121.9
Jacoby Brissett,WAS,261,164,62%,1746.0,8.0,5.0,30.0,114.0,1.0,109.2
Taylor Heinicke,ATL,196,124,63%,1375.0,9.0,5.0,23.0,98.0,1.0,96.8
Kyle Trask,TB,232,137,59%,1484.0,8.0,7.0,20.0,79.0,,85.3
Colt McCoy,ARI,228,148,64%,1380.0,6.0,5.0,19.0,47.0,1.0,79.9
Trey Lance,SF,84,46,54%,601.0,4.0,3.0,29.0,156.0,1.0,55.6
Mike White,MIA,109,70,64%,782.0,5.0,4.0,6.0,12.0,,44.5
Brian Hoyer,LV,107,65,60%,717.0,3.0,2.0,4.0,10.0,,37.7
Bailey Zappe,NE,70,45,64%,497.0,3.0,2.0,4.0,8.0,,28.7
Gardner Minshew,IND,58,36,62%,397.0,3.0,1.0,7.0,25.0,,28.4
Davis Mills,HOU,69,44,63%,446.0,3.0,2.0,4.0,11.0,,26.9
Tyler Huntley,BAL,60,40,66%,371.0,1.0,1.0,9.0,60.0,,22.8
Nick Mullens,MIN,36,23,63%,254.0,2.0,1.0,3.0,5.0,,16.7
Marcus Mariota,PHI,31,19,61%,225.0,1.0,1.0,5.0,28.0,,13.8
Tyrod Taylor,NYG,31,19,61%,205.0,1.0,1.0,6.0,36.0,,13.8
Hendon Hooker,DET,31,17,54%,201.0,1.0,1.0,7.0,35.0,,13.5
Easton Stick,LAC,38,24,63%,254.0,1.0,1.0,3.0,11.0,,13.3
Mitch Trubisky,PIT,34,22,64%,227.0,1.0,1.0,4.0,18.0,,12.9
